陸運局登録状況,,,,2023/4/21時点,,,
都道府県,支局名/表示名,リアルデータ,画像抽出,ご当地ナンバー,入力名,かぶり検索,競合するものの命名規則
北海道,札幌,,,,札,1,
,函館,,,,函,1,
,室蘭,,,,室,1,
,苫小牧,1,,1,苫,1,
,釧路,,,,釧,1,
,知床,1,,1,知,1,
,帯広,,,,帯,1,
,北見,,,,見,1,
,旭川,,,,旭,1,
青森,青森,,,,青,1,
,弘前,1,,1,弘,1,
,八戸,,,,戸,1,
岩手,岩手,1,,,岩,1,
,盛岡,1,,1,盛,1,
,平泉,1,,1,平,1,
宮城,宮城,,,,城,1,
,仙台,,,1,仙,1,
秋田,秋田,,,,秋,1,
山形,山形,,1,,山,1,
,庄内,,,,庄,1,
福島,福島,,,,福,1,
,会津,,,1,会,1,
,郡山,1,,1,郡,1,
,白河,1,,1,白,1,
,いわき,,,,磐,1,
茨城,水戸,,,,水,1,
,土浦,,,,土,1,
,つくば,,,1,波,1,
栃木,宇都宮,,,,宇,1,
,那須,,,1,那,1,
,とちぎ,,,,栃,1,
群馬,群馬,,,,群,1,
,高崎,,,1,高,1,
,前橋,1,,1,前,1,
埼玉,大宮,,,,大,1,
,川口,1,,1,口,1,
,熊谷,,,,熊,1,
,春日部,,,,春,1,
,越谷,1,,1,越,1,
,所沢,,,,所,1,
,川越,,,1,川,1,
千葉,千葉,,,,千,1,
,成田,,,1,成,1,
,野田,,,,野,1,
,柏,,,1,柏,1,
,松戸,1,,1,松,1,
,習志野,,,,習,1,
,市川,1,,1,市,1,
,船橋,,,1,船,1,
,袖ヶ浦,,,,袖,1,
,市原,1,,1,原,1,
東京,品川,,1,,品,1,
,世田谷,1,,1,世,1,
,足立,,1,,足,1,
,江東,1,,1,江,1,
,葛飾,1,,1,葛,1,
,練馬,1,,,練,1,
,杉並,1,,1,杉,1,
,板橋,1,,1,板,1,
,多摩,1,,,多,1,
,八王子,,1,,八,1,
神奈川,横浜,,,,横,1,
,川崎,,,,崎,1,
,相模,,,,相,1,
,湘南,,,,湘,1,
山梨,山梨,,,,梨,1,
(静岡),富士山,,,1,士,1,
新潟,新潟,,,,新,1,
,長岡,,,,長,1,
,上越,,,1,上,1,
富山,富山,,,,富,1,
石川,石川,,1,,石,1,
,金沢,,,1,金,1,
長野,長野,,,,中,1,中部
,松本,,,,本,1,
,諏訪,,,1,諏,1,
福井,福井,,,,北,1,
岐阜,岐阜,,,,岐,1,
,飛騨,,,,騨,1,
静岡,静岡,,,,静,1,
,浜松,,1,,浜,1,
,沼津,,,,沼,1,
,伊豆,,,1,伊,1,
愛知,名古屋,,,,名,1,
,豊橋,,,,橋,1,
,三河,,,,三,1,
,岡崎,,,1,岡,1,
,豊田,,,1,豊,1,
,尾張小牧,,,,尾,1,
,一宮,,,1,一,1,
,春日井,1,,1,井,1,
三重,三重,,,,重,1,
,鈴鹿,,,1,鈴,1,
,四日市,1,,1,四,1,
,伊勢志摩,1,,1,勢,1,
滋賀,滋賀,1,,,滋,1,
京都,京都,1,,,京,1,
大阪,大阪,,1,,阪,1,
,なにわ,,,,難,1,
,和泉,,,,和,1,
,堺,,,1,堺,1,
兵庫,神戸,,,,神,1,
,姫路,,,,姫,1,
奈良,奈良,,,,奈,1,
,飛鳥,1,,1,飛,1,
和歌山,和歌山,,,,歌,1,
鳥取,鳥取,1,,,鳥,1,
島根,島根,,,,島,1,
,出雲,1,,1,出,1,
岡山,岡山,,,,西,1,
,倉敷,,,1,倉,1,
広島,広島,,,,広,1,
,福山,,,,瀬,1,瀬戸内
山口,山口,,,,萩,1,萩市
,下関,,,1,下,1,
徳島,徳島,,,,徳,1,
香川,香川,,,,香,1,
,高松,1,,1,剛,1,"金""剛""山"
愛媛,愛媛,1,,,愛,1,
,愛媛(旧),1,,,旧,1,旧表記
高知,高知,,,,龍,1,"坂本""龍""馬"
福岡,福岡,,,,美,1,"""美""女が多い"
,北九州,1,,,九,1,
,久留米,,,,久,1,
,筑豊,,,,筑,1,
佐賀,佐賀,,,,佐,1,
長崎,長崎,,,,皿,1,"長崎ちゃんぽんーリンガーハットー""皿""うどん"
,佐世保,,,,保,1,
熊本,熊本,,,,蜜,1,みかん
大分,大分,,,,分,1,
宮崎,宮崎,,,,宮,1,
鹿児島,鹿児島,,,,鹿,1,
,奄美,,,1,奄,1,
沖縄,沖縄,1,,,沖,1,
,,,,,,,
・R7.05~交付開始される新たな地域名表示,,,,,,,
北海道,十勝,(帯広,,,,,
栃木,日光,(宇都宮,,,,,
東京,江戸川,(足立,,,,,
長野,安曇野,(松本,,,,,
,南信州,(松本,,,,,
滋賀,彦根,(滋賀,,,,,
,,,,,,,
※リアルデータはaoshima-car.comより,,,,,,,
